Connections ID, Vehicle ID, Time Stamp, Current Open Connections
,,14.4,
,,15.4,
,,16.4,
,,17.4,
,,18.4,
,,19.4,
,,20.4,
,,21.4,
,,22.4,
,,23.4,
,,24.4,
,,25.4,
,,26.4,
,,27.4,
,,28.4,
,,29.4,
,,30.4,
,,31.4,
,,32.4,
,,33.4,
,,34.4,
47,3851,1.4,
,,2.4,
,,3.4,
,,4.4,
,,5.4,
,,6.4,3788
,,7.4,3788
,,8.4,3788
,,9.4,
,,10.4,
,,11.4,
,,12.4,
,,13.4,
,,14.4,
,,15.4,
,,16.4,
,,17.4,
,,18.4,
,,19.4,
,,20.4,
,,21.4,
,,22.4,
,,23.4,
,,24.4,
,,25.4,
,,26.4,
,,27.4,
,,28.4,
,,29.4,
,,30.4,
,,31.4,3861
,,32.4,3861
,,33.4,3854
,,34.4,3854
48,3840,1.4,
,,2.4,
,,3.4,
,,4.4,
,,5.4,
,,6.4,
,,7.4,
,,8.4,
,,9.4,
,,10.4,
,,11.4,3793
,,12.4,3793
,,13.4,
,,14.4,
,,15.4,
,,16.4,
,,17.4,
,,18.4,
,,19.4,
,,20.4,
,,21.4,3779
,,22.4,3779
,,23.4,3779
,,24.4,
,,25.4,
,,26.4,
,,27.4,3767
,,28.4,3767
,,29.4,3767
,,30.4,
,,31.4,
,,32.4,
,,33.4,
,,34.4,
49,3784,1.4,
,,2.4,
,,3.4,
,,4.4,
,,5.4,
,,6.4,
,,7.4,
,,8.4,
,,9.4,
,,10.4,
,,11.4,
,,12.4,
,,13.4,
,,14.4,
,,15.4,
,,16.4,
,,17.4,
,,18.4,
,,19.4,
,,20.4,
,,21.4,
,,22.4,
,,23.4,
,,24.4,
,,25.4,
,,26.4,
,,27.4,
,,28.4,
,,29.4,
,,30.4,
,,31.4,
,,32.4,
,,33.4,
,,34.4,
50,3766,1.4,
,,2.4,
,,3.4,
,,4.4,
,,5.4,
,,6.4,
,,7.4,
,,8.4,
,,9.4,
,,10.4,
,,11.4,
,,12.4,
,,13.4,
,,14.4,
,,15.4,
,,16.4,
,,17.4,
,,18.4,
,,19.4,
,,20.4,
,,21.4,
,,22.4,
,,23.4,
,,24.4,
,,25.4,
51,3787,1.4,
,,2.4,
,,3.4,
,,4.4,
,,5.4,
,,6.4,
,,7.4,
,,8.4,
,,9.4,
,,10.4,
,,11.4,
,,12.4,
,,13.4,
,,14.4,
,,15.4,
,,16.4,
,,17.4,
,,18.4,
,,19.4,
,,20.4,
,,21.4,
,,22.4,
,,23.4,
,,24.4,
,,25.4,
,,26.4,
,,27.4,
,,28.4,
,,29.4,
,,30.4,
,,31.4,
,,32.4,
,,33.4,
,,34.4,
59,3846,1.4,
,,2.4,
,,3.4,
,,4.4,
,,5.4,
,,6.4,
,,7.4,
,,8.4,
,,9.4,
,,10.4,
,,11.4,
,,12.4,
,,13.4,
,,14.4,
,,15.4,
,,16.4,
,,17.4,
,,18.4,
,,19.4,
,,20.4,
,,21.4,
,,22.4,
,,23.4,
,,24.4,
,,25.4,
,,26.4,
,,27.4,
,,28.4,
,,29.4,
,,30.4,
,,31.4,
,,32.4,
,,33.4,
,,34.4,
60,3835,1.4,
,,2.4,
,,3.4,
,,4.4,
,,5.4,
,,6.4,
,,7.4,
,,8.4,
,,9.4,
,,10.4,
,,11.4,
,,12.4,
,,13.4,
,,14.4,
,,15.4,
,,16.4,
,,17.4,
,,18.4,
,,19.4,
,,20.4,
,,21.4,
,,22.4,
,,23.4,
,,24.4,
,,25.4,
,,26.4,
,,27.4,
,,28.4,
,,29.4,
,,30.4,
,,31.4,
,,32.4,
,,33.4,
,,34.4,
61,3821,1.4,
,,2.4,
,,3.4,
,,4.4,
,,5.4,
,,6.4,
,,7.4,
,,8.4,
,,9.4,
,,10.4,
,,11.4,
,,12.4,
,,13.4,
,,14.4,
,,15.4,
,,16.4,
,,17.4,
,,18.4,
,,19.4,
,,20.4,
,,21.4,
,,22.4,
,,23.4,
,,24.4,
,,25.4,
,,26.4,
,,27.4,
,,28.4,
,,29.4,
,,30.4,
,,31.4,
,,32.4,
,,33.4,
,,34.4,
62,3793,1.4,
,,2.4,
,,3.4,
,,4.4,
,,5.4,
,,6.4,
,,7.4,
,,8.4,
,,9.4,
,,10.4,
,,11.4,
,,12.4,
,,13.4,
,,14.4,
,,15.4,
,,16.4,
,,17.4,
,,18.4,
,,19.4,
,,20.4,
,,21.4,
,,22.4,
,,23.4,
,,24.4,
,,25.4,
,,26.4,
,,27.4,
,,28.4,
,,29.4,
,,30.4,
,,31.4,
,,32.4,
,,33.4,
,,34.4,
63,3825,1.4,
,,2.4,
,,3.4,
,,4.4,
,,5.4,
,,6.4,
,,7.4,
,,8.4,
,,9.4,
,,10.4,
,,11.4,
,,12.4,
,,13.4,
,,14.4,
,,15.4,
,,16.4,
,,17.4,
,,18.4,
,,19.4,
,,20.4,
,,21.4,
,,22.4,
,,23.4,
,,24.4,
,,25.4,3839
,,26.4,3839
,,27.4,3839
,,28.4,3839
,,29.4,3839
,,30.4,3839
,,31.4,
,,32.4,
,,33.4,
,,34.4,
64,3807,1.4,
,,2.4,
,,3.4,
,,4.4,
,,5.4,
,,6.4,
,,7.4,
,,8.4,
,,9.4,
,,10.4,
,,11.4,
,,12.4,
,,13.4,
,,14.4,
,,15.4,
,,16.4,
,,17.4,
,,18.4,
,,19.4,
,,20.4,
,,21.4,
,,22.4,
,,23.4,
,,24.4,
,,25.4,
,,26.4,
,,27.4,
,,28.4,
,,29.4,
,,30.4,
,,31.4,
,,32.4,
,,33.4,
,,34.4,
65,3836,1.4,
,,2.4,
,,3.4,
,,4.4,
,,5.4,
,,6.4,
,,7.4,
,,8.4,
,,9.4,
,,10.4,
,,11.4,
,,12.4,
,,13.4,
,,14.4,
,,15.4,
,,16.4,
,,17.4,
,,18.4,
,,19.4,
,,20.4,
,,21.4,
,,22.4,
,,23.4,
,,24.4,
,,25.4,
,,26.4,
,,27.4,
,,28.4,
,,29.4,
,,30.4,
,,31.4,
,,32.4,
,,33.4,
,,34.4,
66,3777,1.4,
,,2.4,
,,3.4,
,,4.4,
,,5.4,
,,6.4,
,,7.4,
67,3764,1.4,
,,2.4,
,,3.4,
,,4.4,
,,5.4,
,,6.4,
,,7.4,
,,8.4,
,,9.4,
,,10.4,
,,11.4,
,,12.4,
,,13.4,
,,14.4,
,,15.4,
,,16.4,
,,17.4,
,,18.4,
,,19.4,
,,20.4,
,,21.4,
,,22.4,
,,23.4,
,,24.4,
,,25.4,
,,26.4,
,,27.4,
,,28.4,
,,29.4,
,,30.4,
,,31.4,
,,32.4,
,,33.4,
,,34.4,
68,3847,1.4,
,,2.4,
,,3.4,
,,4.4,
,,5.4,
,,6.4,
,,7.4,
,,8.4,
,,9.4,
,,10.4,
,,11.4,
,,12.4,
