Trajectory ID,Vehicle ID,Time Stamp,Latitude,Longitude
,,20.4,44.241240903569185,-76.50574350321232
,,20.6,44.24124107403014,-76.50572262076498
,,20.8,44.241241251024775,-76.50570093790559
,,21.0,44.24124143431747,-76.50567848349641
,,21.2,44.241241623617825,-76.50565529311572
,,21.4,44.24124181861316,-76.50563140506655
,,21.6,44.24124201897023,-76.50560686017364
,,21.8,44.24124222433729,-76.50558170152864
,,22.0,44.2412424343465,-76.5055559741928
,,22.2,44.24124264861664,-76.50552972486977
,,22.4,44.241242866755854,-76.50550300156267
,,22.6,44.24124308836449,-76.50547585323105
,,22.8,44.24124331303777,-76.5054483294633
,,23.0,44.2412435403682,-76.50542048017897
,,23.2,44.24124376994768,-76.50539235537369
,,23.4,44.24124400136912,-76.50536400491707
,,23.6,44.241244234227636,-76.50533547841042
,,23.8,44.24124446812117,-76.50530682510869
,,24.0,44.24124470265058,-76.50527809390778
,,24.2,44.24124493741926,-76.50524933339526
,,24.4,44.24124517203221,-76.50522059196118
,,24.6,44.241245406094684,-76.50519191796248
,,24.8,44.24124563921051,-76.50516335993346
,,25.0,44.24124587098005,-76.50513496683328
,,25.2,44.24125149694224,-76.50510687412786
,,25.4,44.241251724795106,-76.50507896084228
,,25.6,44.24125195005919,-76.50505136469762
,,25.8,44.24125217229819,-76.505024139143
,,26.0,44.24125239106141,-76.5049973393911
,,26.2,44.24125260588243,-76.5049710225811
,,26.4,44.24125281627853,-76.50494524784949
,,26.6,44.24125302175113,-76.50492007627611
,,26.8,44.241253221787495,-76.50489557067084
,,27.0,44.24125341586415,-76.50487179516523
,,27.2,44.241253603451995,-76.50484881457619
,,27.4,44.2412537840236,-76.50482669351767
,,27.6,44.241253957062554,-76.50480549525078
,,27.8,44.241254122074935,-76.50478528028545
,,28.0,44.24125427860237,-76.50476610477567
,,28.2,44.241254375335004,-76.50474796829131
,,28.4,44.241254468480385,-76.50472934768206
,,28.6,44.24125456385602,-76.50471028122604
,,28.8,44.241254660968934,-76.50469086747195
,,29.0,44.24125475927459,-76.50467121527846
,,29.2,44.24125485818018,-76.50465144315146
,,29.4,44.24125495705072,-76.50463167803068
,,29.6,44.24125505521823,-76.50461205345314
,,29.8,44.2412551519942,-76.50459270705672
,,30.0,44.241255246685306,-76.5045737774445
,,30.2,44.24125533861177,-76.50455540050933
,,30.4,44.241255549713514,-76.504538013831
,,30.6,44.241255996138804,-76.50451967605355
,,30.8,44.24125645676599,-76.50450075490639
,,31.0,44.24125692968847,-76.50448132870606
,,31.2,44.24125201958618,-76.5044612294813
,,31.4,44.24125251045496,-76.50444106610203
,,31.6,44.241253006519656,-76.50442068929065
,,31.8,44.24125350498051,-76.50440021405244
,,32.0,44.24125400285842,-76.50437976276011
,,32.2,44.24125449703458,-76.50435946352364
,,32.4,44.241254984302934,-76.50433944803908
,,32.6,44.24125546143488,-76.50431984892677
,,32.8,44.24125592525504,-76.5043007966219
,,33.0,44.24125637272474,-76.50428241594324
,,33.2,44.241257112058214,-76.50426497803709
,,33.4,44.241258021895774,-76.50424667130558
,,33.6,44.241258966225026,-76.50422767057086
,,33.8,44.24125994214085,-76.50420803428645
,,34.0,44.24126094636942,-76.50418782832479
,,34.2,44.24126197525734,-76.50416712619545
,,34.4,44.24126302476784,-76.50414600912143
,,34.6,44.24126409048544,-76.50412456594658
,,34.8,44.24126516763015,-76.504102892848
,,35.0,44.24126625108284,-76.50408109282732
,,35.2,44.24126733542272,-76.50405927495572
,,35.4,44.2412684149783,-76.50403755334835
,,35.6,44.2412694838929,-76.50401604584688
38,QRDF84,0.2,44.23468936037509,-76.4989094780341
,,0.4,44.23469007102466,-76.49890954024175
,,0.6,44.234691488804856,-76.49890966434903
,,0.8,44.23469360867087,-76.49890984991433
,,1.0,44.23469642350227,-76.49891009631433
,,1.2,44.234699923388824,-76.49891040268156
,,1.4,44.234704094724954,-76.49891076782502
,,1.6,44.23470891908673,-76.49891119013195
,,1.8,44.23471437187181,-76.49891166744875
,,2.0,44.23472042069936,-76.49891219694092
,,2.2,44.234727023599696,-76.4989127749346
,,2.4,44.23473395310468,-76.4989134537998
,,2.6,44.234741747676615,-76.49891436655803
,,2.8,44.23475023813728,-76.49891536080608
,,3.0,44.23475941658065,-76.49891643561811
,,3.2,44.234769273109805,-76.4989175898352
,,3.4,44.23477979560635,-76.49891882203826
,,3.6,44.23479096953322,-76.49892013052497
,,3.8,44.23480277778672,-76.49892151329246
,,4.0,44.23481520061304,-76.49892296802751
,,4.2,44.234828215603365,-76.49892449210601
,,4.4,44.23484179777764,-76.49892608260278
,,4.6,44.234855919762545,-76.49892773631233
,,4.8,44.23487055206235,-76.49892944978065
,,5.0,44.23488566341435,-76.49893121934684
,,5.2,44.23490122121359,-76.4989330411928
,,5.4,44.23491719198547,-76.49893491139859
,,5.6,44.23493354188129,-76.49893682600046
,,5.8,44.23495023717028,-76.4989387810485
,,6.0,44.23496724470297,-76.49894077266082
,,6.2,44.234984532324766,-76.49894279707208
,,6.4,44.23500206922391,-76.49894485067415
,,6.6,44.23501982620438,-76.49894693004813
,,6.8,44.23503777588062,-76.49894903198714
,,7.0,44.235055892796424,-76.4989511535102
,,7.2,44.235074153474514,-76.49895329186808
,,7.4,44.235092536406356,-76.49895544454209
,,7.6,44.235111021993035,-76.49895760923715
,,7.8,44.235129592448246,-76.49895978387049
,,8.0,44.23514823167399,-76.49896196655696
,,8.2,44.23516692511822,-76.49896415559253
,,8.4,44.23518611074693,-76.49895884439847
,,8.6,44.23520487438826,-76.49896104165424
,,8.8,44.23522365632491,-76.49896324105242
,,9.0,44.23524244664252,-76.49896544143203
,,9.2,44.23526123620783,-76.49896764172354
,,9.4,44.23528001652899,-76.49896984093255
,,9.6,44.235298779623264,-76.49897203812425
,,9.8,44.235317517891836,-76.49897423240883
,,10.0,44.23533622400105,-76.49897642292748
,,10.2,44.23535489076922,-76.49897860883922
,,10.4,44.235373511057645,-76.4989807893081
,,10.6,44.235392077664656,-76.4989829634908
,,10.8,44.2354105832211,-76.49898513052437
,,11.0,44.2354290200858,-76.49898728951402
,,11.2,44.235447380239364,-76.49898943952066
,,11.4,44.23546565517474,-76.49899157954809
,,11.6,44.23548383578295,-76.49899370852964
,,11.8,44.235501912232245,-76.498995825314
,,12.0,44.23551987383933,-76.49899792865013
,,12.2,44.235537708931105,-76.49900001717108
,,12.4,44.23555540469575,-76.49900208937659
,,12.6,44.235572947022355,-76.49900414361423
,,12.8,44.23559032032875,-76.4990061780593
,,13.0,44.235607507378226,-76.49900819069336
,,13.2,44.23562448908691,-76.49901017928165
,,13.4,44.235641244325485,-76.49901214134988
,,13.6,44.23565774972144,-76.4990140741611
,,13.8,44.235673979471215,-76.49901597469366
,,14.0,44.2356899051762,-76.49901783962204
,,14.2,44.235704863846344,-76.49901959130891
,,14.4,44.23571852285261,-76.49902874866812
,,14.6,44.23573186342971,-76.49903031087342
,,14.8,44.23574448836115,-76.49903178927535
,,15.0,44.23575643510584,-76.4990331882604
,,15.2,44.23576773025576,-76.49903451094254
,,15.4,44.23577839338035,-76.49903575961339
,,15.6,44.235788439798995,-76.49903693606687
,,15.8,44.23579846894983,-76.49903719108343
,,16.0,44.23580735077435,-76.49903737774173
,,16.2,44.23581565247353,-76.49903755220826
,,16.4,44.235823388317314,-76.49903771478292
,,16.6,44.235830574360605,-76.49903786580309
,,16.8,44.23583722870077,-76.49903800564913
,,17.0,44.2358433715232,-76.49903813474522
,,17.2,44.23584902497497,-76.49903825355682
,,17.4,44.23585421290739,-76.49903836258517
,,17.6,44.23585896052809,-76.49903846236003
,,17.8,44.23586329400056,-76.49903855343126
,,18.0,44.23586724002462,-76.49903863635996
,,18.2,44.23587082542541,-76.49903871170989
,,18.4,44.23587407677227,-76.49903878003943
,,18.6,44.23587702004208,-76.49903884189447
,,18.8,44.23587968033637,-76.49903889780259
,,19.0,44.235882081655824,-76.49903894826815
,,19.2,44.235884246732525,-76.49903899376889
,,19.4,44.235886196916354,-76.49903903475348
,,19.6,44.235887952110396,-76.49903907164023
,,19.8,44.23588953074861,-76.49903910481652
,,20.0,44.235890949808194,-76.49903913463913
,,20.2,44.235890949808194,-76.49903913463913
,,20.4,44.235890949808194,-76.49903913463913
,,20.6,44.235890949808194,-76.49903913463913
,,20.8,44.235890949808194,-76.49903913463913
,,21.0,44.235890949808194,-76.49903913463913
,,21.2,44.23589133229127,-76.4990391426773
,,21.4,44.23589222060883,-76.49903916134598
,,21.6,44.23589366079114,-76.4990391916125
,,21.8,44.235895672991916,-76.49903923390043
,,22.0,44.23589826522785,-76.49903928837824
,,22.2,44.23590143833851,-76.49903935506359
,,22.4,44.235897406329244,-76.49903595260515
,,22.6,44.23590424057404,-76.49903738905765
,,22.8,44.23590676130825,-76.49904345628818
,,23.0,44.23590963387,-76.49905037034293
,,23.2,44.23591285505123,-76.49905812350033
,,23.4,44.23591642071096,-76.49906670579331
,,23.6,44.23592032556973,-76.49907610451463
,,23.8,44.23592456297504,-76.49908630365216
,,24.0,44.23592912463698,-76.49909728325265
,,24.2,44.235933749196526,-76.49910841424328
,,24.4,44.23593841647402,-76.499119648053
,,24.6,44.235943105648595,-76.49913093456746
,,24.8,44.23594779560617,-76.49914222296657
,,25.0,44.23595246531384,-76.49915346262554
,,25.2,44.23595709420329,-76.49916460403794
,,25.4,44.235961700736226,-76.49917569163978
,,25.6,44.2359663020374,-76.49918676664913
,,25.8,44.235970913870545,-76.49919786700819
,,26.0,44.23597555061689,-76.4992090273316
,,26.2,44.235980225259226,-76.49922027886798
,,26.4,44.23598494937241,-76.49923164947722
,,26.6,44.23598973312011,-76.49924316362258
,,26.8,44.23599458525665,-76.49925484237507
,,27.0,44.23599951313259,-76.49926670342698
,,27.2,44.23600452270276,-76.49927876111119
,,27.4,44.236009618535405,-76.49929102642312
,,27.6,44.236014803821675,-76.49930350704366
,,27.8,44.236020080384804,-76.4993162073612
,,28.0,44.23602538509553,-76.49932898561107
,,28.2,44.236030678169676,-76.49934214482003
,,28.4,44.23603606326835,-76.49935553281284
,,28.6,44.23603683130251,-76.49937282648823
,,28.8,44.236042612389724,-76.49938719895545
,,29.0,44.236048691353886,-76.49940231198002
,,29.2,44.23605505642526,-76.49941813630099
